cui_1,relship,cui_2
C3540622,AFFECTS,C0242656
C3540622,AFFECTS,C0332149
C0016976,LOCATION_OF,C0007097
C0009375,COEXISTS_WITH,C0001418
C0009375,COEXISTS_WITH,C0152964
C0007097,PROCESS_OF,C0030705
C0008320,TREATS,C0030705
C0008320,TREATS(INFER),C0007097
C0024203,TREATS,C0030705
C0024203,TREATS(INFER),C0007097
C0021081,ISA,C0013227
C0036690,PROCESS_OF,C0684030
C1120106,PREVENTS,C0036690
C1515119,PREVENTS,C0014866
C1700929,PRECEDES,C1515119
C1700929,TREATS,C0025266
C0024109,LOCATION_OF,C1518345
C0202823,DIAGNOSES,C1518345
C0001563,PREVENTS,C0014866
C0042029,PROCESS_OF,C0317536
C0282215,NEG_TREATS,C0317536
C0007102,AFFECTS,C0031831
C0021853,LOCATION_OF,C0333361
C0314976,ASSOCIATED_WITH,C1442826
C0317558,ASSOCIATED_WITH,C0021390
C1490590,ASSOCIATED_WITH,C0011847
C1490590,ASSOCIATED_WITH,C0028754
C1096776,USES,C0184661
C0432487,PRECEDES,C0036690
C2973446,ASSOCIATED_WITH,C0432487
C0023810,CAUSES,C0036983
C4319695,DISRUPTS,C0598934
C4319695,AUGMENTS,C1155266
C0024432,LOCATION_OF,C4319695
C4319695,DISRUPTS,C2699153
C0027950,PART_OF,C0031153
C0041904,PROCESS_OF,C0026809
C0041904,PROCESS_OF,C0030705
C0007131,PROCESS_OF,C0086418
C0007131,AFFECTS,C0031843
C0036690,AFFECTS,C0031843
C2826244,PROCESS_OF,C0030705
C2986592,ADMINISTERED_TO,C0030705
C0282548,CAUSES,C0742343
C0282548,CAUSES,C0865850
C0282548,COEXISTS_WITH,C0085669
C1874451,PREVENTS,C0038454
C0026946,PROCESS_OF,C0008059
C0023467,PROCESS_OF,C0205653
C0020456,PREDISPOSES,C3714514
C0020456,PROCESS_OF,C0030705
C3714514,COEXISTS_WITH,C0700225
C0178784,LOCATION_OF,C0279068
C0018133,PROCESS_OF,C0030705
C1268551,NEG_TREATS,C0871685
C0193062,TREATS,C0007113
C0193062,TREATS,C0030705
C0193062,TREATS(INFER),C0578022
C0193062,TREATS,C0006826
C0193062,TREATS,C0034885
C0193062,TREATS,C0027651
C0193062,TREATS(INFER),C0041667
C0004610,PREDISPOSES,C0036983
C1825598,CAUSES,C3714514
C2744535,CAUSES,C0036983
C2744535,CAUSES,C3714514
C0036983,COEXISTS_WITH,C0238748
C0238748,PROCESS_OF,C1516213
C1459658,CAUSES,C0014121
C0206054,DIAGNOSES,C1285498
C0559680,TREATS,C0014122
C0175996,LOCATION_OF,C0007097
C0242602,TREATS,C0026764
C0199176,USES,C0282386
C0025241,TREATS,C0030705
C0025241,TREATS(INFER),C0026764
C0025241,TREATS(INFER),C0684256
C0242602,TREATS,C0030705
C0242602,TREATS(INFER),C0026764
C0242602,TREATS(INFER),C0684256
C0282386,TREATS(INFER),C0026764
C0282386,TREATS(INFER),C0684256
C0684256,PROCESS_OF,C0030705
C0854196,PRECEDES,C0242379
C0150312,PREDISPOSES,C0877373
C1299622,TREATS,C0030705
C0877373,AFFECTS,C0030705
C0376545,AFFECTS,C3714514
C0345989,CAUSES,C0238124
C0224435,LOCATION_OF,C0238124
C0543467,TREATS,C0012634
C0543467,TREATS(SPEC),C0238124
C0020268,TREATS,C1516213
C0020268,TREATS(INFER),C0036983
C0020268,ASSOCIATED_WITH,C0442886
C0020268,TREATS,C0030705
C0006290,ADMINISTERED_TO,C0030705
C1879736,TREATS,C2985135
C1879736,NEG_PREDISPOSES,C0004610
C0004610,PROCESS_OF,C0445951
C1550293,LOCATION_OF,C0036690
C0012634,COEXISTS_WITH,C0699790
C0038351,LOCATION_OF,C0012634
C0030274,LOCATION_OF,C0012634
C0019080,ISA,C0005779
C0004623,AFFECTS,C0030705
C0239293,PROCESS_OF,C0030705
C0239293,AFFECTS,C0004623
C0282493,ADMINISTERED_TO,C0030705
C1836348,PROCESS_OF,C1516213
C0012634,PROCESS_OF,C0026809
C0023530,AFFECTS,C1444662
C0013216,CAUSES,C0018939
C0015733,LOCATION_OF,C3494793
C3494793,AFFECTS,C1514892
C0949665,NEG_AFFECTS,C1444662
C0031911,ASSOCIATED_WITH,C0004610
C0317922,ISA,C0004611
C0225706,LOCATION_OF,C0001418
C0588058,LOCATION_OF,C2939419
C0003232,TREATS,C0009566
C0042313,AFFECTS,C0343401
C0042313,NEG_TREATS,C0030705
C0012854,ASSOCIATED_WITH,C0343401
C0250480,TREATS(INFER),C0006826
C1260298,TREATS,C0030705
C1260298,TREATS(INFER),C0006826
C0250480,ADMINISTERED_TO,C0030705
C1260298,compared_with,C0250480
C1260298,higher_than,C0250480
C0121772,CAUSES,C0238124
C0796392,TREATS,C0007113
C0796392,TREATS,C0030705
C0796392,TREATS(INFER),C0238124
C2028293,COEXISTS_WITH,C0085393
C0013216,TREATS(INFER),C0238124
C0015641,LOCATION_OF,C0005558
C1320191,COEXISTS_WITH,C0238124
C0949665,TREATS,C0318157
C3854019,PREVENTS,C0009566
C0600554,PROCESS_OF,C0008059
C0020964,PROCESS_OF,C0008059
C0030312,COEXISTS_WITH,C0877153
C0333355,COEXISTS_WITH,C0877153
C0014442,AFFECTS,C0025519
C0026882,PROCESS_OF,C0017337
C0392920,TREATS,C0012634
C0016871,CAUSES,C0085082
C0004561,LOCATION_OF,C0006826
C0006826,AFFECTS,C0039485
C0011581,PROCESS_OF,C0870602
C0013144,PROCESS_OF,C0870602
C0015672,PROCESS_OF,C0870602
C0018681,PROCESS_OF,C0870602
C0233794,PROCESS_OF,C0870602
C0750325,PROCESS_OF,C0870602
C0004561,LOCATION_OF,C0280803
C0750430,DIAGNOSES,C0280803
C0039485,LOCATION_OF,C0270612
C0280803,PROCESS_OF,C0030705
C0947630,USES,C0017428
C0879626,PROCESS_OF,C0008059
C0282638,TREATS(INFER),C0023467
C0220630,PROCESS_OF,C0030705
C0486926,PREDISPOSES,C0220630
C0486926,PREDISPOSES,C1623038
C0524911,PROCESS_OF,C0030705
C0151317,PREDISPOSES,C1623038
C0151317,PREDISPOSES,C2239176
C2074980,PROCESS_OF,C0030705
C1709846,METHOD_OF,C0599161
C0486926,ASSOCIATED_WITH,C2239176
C0872084,COEXISTS_WITH,C2945640
C2945640,PROCESS_OF,C0870602
C0872084,PROCESS_OF,C0030705
C0872084,NEG_PREDISPOSES,C0036690
C0872084,NEG_PREDISPOSES,C0919691
C2945640,PREDISPOSES,C3698200
C0004610,PROCESS_OF,C1647802
C0023449,PROCESS_OF,C0043210
C0032285,PROCESS_OF,C0043210
C0032285,PROCESS_OF,C1647802
C0149783,TREATS,C0020635
C0010356,PROCESS_OF,C1516213
C1883256,ADMINISTERED_TO,C1516213
C0038435,CAUSES,C0206277
C0149783,METHOD_OF,C0019664
C0229671,LOCATION_OF,C0037473
C0746883,CAUSES,C0011065
C1258215,CAUSES,C0011065
C0004398,DIAGNOSES,C0520459
C0149783,TREATS,C0206277
C0021368,PROCESS_OF,C0030705
C0332149,COEXISTS_WITH,C0009450
C0178784,LOCATION_OF,C0038435
C0679333,PROCESS_OF,C0030705
C0486948,PART_OF,C0007634
C0013216,TREATS,C0599755
C0599755,LOCATION_OF,C1825598
C1321301,LOCATION_OF,C1825598
C1510438,MEASURES,C0369499
C1510438,MEASURES,C0486948
C1510438,MEASURES,C0740116
C0486948,PART_OF,C0039215
C0006840,PROCESS_OF,C0001675
C0537894,TREATS,C1516213
C1120386,TREATS,C1516213
C1120386,TREATS(INFER),C0153252
C0034606,DIAGNOSES,C1881358
C0817096,LOCATION_OF,C0034606
C0005558,DIAGNOSES,C0332448
C0005558,DIAGNOSES,C1961099
C0812425,NEG_DIAGNOSES,C0014644
C0812425,USES,C4049944
C0013216,CAUSES,C0036690
C3887499,CAUSES,C1457887
C0009566,COEXISTS_WITH,C0022661
C0022658,PROCESS_OF,C0030705
C0038826,PROCESS_OF,C0030705
C3203359,PROCESS_OF,C0030705
C0151705,PROCESS_OF,C0030705
C3887499,PROCESS_OF,C0030705
C0030705,LOCATION_OF,C0162595
C1516213,LOCATION_OF,C0162595
C1516213,LOCATION_OF,C0085240
C0004610,CAUSES,C0006105
C0004610,CAUSES,C0023530
C0036983,PROCESS_OF,C4288965
C0021708,LOCATION_OF,C0683962
C0035648,PROCESS_OF,C4288965
C3714514,CAUSES,C0746883
C0935576,TREATS,C0030705
C0935576,TREATS(INFER),C0746883
C3714514,PROCESS_OF,C0026192
C0013369,PROCESS_OF,C0027361
C0006826,AFFECTS,C0027361
C0525033,CAUSES,C0036690
C0023530,ISA,C0010828
C1522378,PROCESS_OF,C0030705
C2744535,PART_OF,C3812881
C0001617,PART_OF,C0030705
C0010592,TREATS,C0030705
C1521726,COEXISTS_WITH,C0036690
C0600290,TREATS,C0036690
C2985490,PRECEDES,C0600290
C0036690,PRECEDES,C0013928
C0023449,PROCESS_OF,C0025266
C0178784,LOCATION_OF,C0013928
C0178784,LOCATION_OF,C1142114
C0036690,AFFECTS,C1142114
C0004610,PROCESS_OF,C1482117
C0042133,PROCESS_OF,C0043210
C4255212,TREATS,C0042133
C0559681,PRECEDES,C0259961
C4289767,PREDISPOSES,C0744471
C0744471,ASSOCIATED_WITH,C0018150
C0744471,COEXISTS_WITH,C4289767
C0019993,TREATS,C0008059
C0229671,LOCATION_OF,C0006560
C0746883,PREDISPOSES,C1719672
C1719672,PROCESS_OF,C0599755
C2744535,PREDISPOSES,C1719672
C0599755,LOCATION_OF,C0079633
C0024302,CAUSES,C0269936
C0024302,ISA,C0024299
C0033150,COEXISTS_WITH,C0036690
C0033150,COEXISTS_WITH,C0269985
C0040405,METHOD_OF,C0011900
C0024894,CAUSES,C0269936
C0037090,PROCESS_OF,C0043210
C0241898,PROCESS_OF,C0043210
C1020322,CAUSES,C0004610
C3714514,PROCESS_OF,C4288965
C0282215,ADMINISTERED_TO,C0030705
C0039194,LOCATION_OF,C0278737
C0278737,PROCESS_OF,C0870221
C0317763,CAUSES,C2886794
C2886794,PROCESS_OF,C0870221
C0318290,CAUSES,C0339965
C0314752,CAUSES,C0029118
C0013216,CAUSES,C0021051
C0013216,CAUSES,C0032285
C0339965,ISA,C3714514
C0852879,CAUSES,C0264490
C0002556,ISA,C0003232
C0282215,ISA,C0003232
C0339965,PROCESS_OF,C0030705
C0024305,OCCURS_IN,C0030705
C1963724,TREATS,C0042749
C1522577,TREATS,C0030705
C1416797,compared_with,C1416797
C1963724,PREVENTS,C0024305
C0036690,ISA,C3714514
C3714514,ISA,C0035204
C0040808,TREATS,C0001675
C0071568,TREATS,C0001675
C0040808,TREATS,C0023449
C0013227,PREVENTS,C0600688
C0038317,PREVENTS,C0020517
C0071568,ADMINISTERED_TO,C0030705
C0000934,PROCESS_OF,C0001675
C0032385,LOCATION_OF,C0032594
C1623788,LOCATION_OF,C0032594
C0085198,PRECEDES,C0014327
C0085198,TREATS(INFER),C0231287
C0231287,PROCESS_OF,C0030705
C0014327,ADMINISTERED_TO,C0030705
C0030705,LOCATION_OF,C0032923
C0030705,LOCATION_OF,C0036773
C0242739,NEG_AFFECTS,C0009566
C0030547,AFFECTS,C0011135
C0014441,METHOD_OF,C1511790
C0072027,PART_OF,C0012984
C0072027,ISA,C0030956
C1510438,MEASURES,C0030956
C1510438,MEASURES(SPEC),C0072027
C0549473,PROCESS_OF,C0012984
C1511790,TREATS,C0012984
C0038172,CAUSES,C1096243
C1318973,COEXISTS_WITH,C0085393
C0036983,ISA,C0021368
C0205082,PREDISPOSES,C1096243
C1136254,ADMINISTERED_TO,C0030705
C0003232,TREATS,C1096243
C0085692,PROCESS_OF,C0030705
C1705576,TREATS(INFER),C0085692
C0085692,OCCURS_IN,C0030705
C0860888,ADMINISTERED_TO,C0030705
C0206058,TREATS,C0280100
C0004057,ADMINISTERED_TO,C0870602
C0205908,TREATS,C0032787
C0036628,LOCATION_OF,C0010709
C0200949,DIAGNOSES,C3714514
C0200949,DIAGNOSES,C4534318
C0038402,ISA,C0085498
C1511790,TREATS,C3714514
C0027651,PROCESS_OF,C0034693
C0006104,LOCATION_OF,C0027651
C0079189,CAUSES,C0011581
C0001811,AFFECTS,C0871261
C0678222,PROCESS_OF,C0034693
C0021753,PART_OF,C0019564
C0034693,LOCATION_OF,C0021753
C0034693,LOCATION_OF,C0023810
C0034693,LOCATION_OF,C1701032
C0021385,ASSOCIATED_WITH,C0021753
C0021385,ASSOCIATED_WITH,C1701032
C0020663,LOCATION_OF,C3887958
C0001824,PREDISPOSES,C0205082
C0002679,ADMINISTERED_TO(SPEC),C0030705
C0002679,ISA,C0013227
C0035648,COEXISTS_WITH,C0877445
C0021853,LOCATION_OF,C0854135
C0020028,LOCATION_OF,C2603343
C0006837,LOCATION_OF,C0074992
C0016277,NEG_AFFECTS,C0006826
C0008809,PREVENTS,C3714514
C0393080,PREVENTS,C3714514
C1120386,PREVENTS,C3714514
C0013216,TREATS(INFER),C0023449
C0013216,TREATS(INFER),C0023467
C1688637,NEG_OCCURS_IN,C0030705
C0393080,TREATS,C0008059
C0393080,TREATS(INFER),C0085669
C1120386,TREATS,C0008059
C1120386,TREATS(INFER),C0085669
C0014859,PRECEDES,C0085183
C0018670,LOCATION_OF,C0034606
C0034606,DIAGNOSES,C0281361
C0034606,DIAGNOSES,C0457193
C0436307,TREATS,C0277565
C1883256,TREATS,C0346976
C0392823,DIAGNOSES,C0035648
C0392823,ADMINISTERED_TO,C0030705
C0023078,LOCATION_OF,C0221198
C2936470,AFFECTS,C0282583
C0009932,LOCATION_OF,C1417190
C0229792,LOCATION_OF,C0004611
C0085678,TREATS,C0036983
C0153381,PROCESS_OF,C0030705
C0343386,CAUSES,C0036983
C0199176,TREATS(INFER),C0334296
C0199176,USES,C0008196
C0012683,USES,C0008196
C1123023,LOCATION_OF,C0012683
C0032857,ADMINISTERED_TO,C0599755
C0012683,TREATS,C0030705
C0012683,TREATS(INFER),C0334296
C4054044,PROCESS_OF,C0008059
C0393080,TREATS,C0015967
C0393080,TREATS,C0030312
C0277555,MANIFESTATION_OF,C0024291
C1859430,PROCESS_OF,C0030705
C0185115,TREATS(INFER),C0278704
C0022877,LOCATION_OF,C0201204
C0085590,TREATS,C0150312
C0718566,TREATS,C0424767
C3179010,TREATS,C3463824
C0010711,ADMINISTERED_TO,C0027361
C0282564,ADMINISTERED_TO,C0027361
C3179010,ADMINISTERED_TO,C0027361
C4510188,COEXISTS_WITH,C0023530
C0023530,PREDISPOSES,C0877248
C0005953,LOCATION_OF,C0178539
C0004475,TREATS,C0023467
C0004475,ADMINISTERED_TO,C0030705
C0004475,COEXISTS_WITH,C2728259
C0004475,TREATS,C1257890
C0003232,TREATS(INFER),C0036690
C0176940,TREATS,C0009462
C0683525,TREATS,C0221198
C0009566,CAUSES,C0036690
C0009566,CAUSES,C0267756
C0344093,TREATS,C0009566
C0001883,PROCESS_OF,C0030705
C0481430,PROCESS_OF,C0030705
C0036220,ISA,C0012634
C0020629,LOCATION_OF,C1185740
C0036220,AFFECTS,C0023078
C0036220,AFFECTS,C1185740
C0011906,DIAGNOSES,C0085393
C1550297,LOCATION_OF,C0012634
C1550297,LOCATION_OF(SPEC),C0036690
C1550297,LOCATION_OF(SPEC),C1561643
C1561643,PREDISPOSES,C0022660
C0012634,CAUSES,C0022660
C0022660,ISA,C0012634
C0019369,PROCESS_OF,C0030705
C1826449,ASSOCIATED_WITH,C0010346
C0150312,COEXISTS_WITH,C0036690
C0150312,PROCESS_OF,C1709854
C0003442,COEXISTS_WITH,C0752046
C0752046,ASSOCIATED_WITH,C0856825
C1719672,CAUSES,C0011065
C0032285,ISA,C0035243
C0029235,CAUSES,C0036690
C0029235,CAUSES,C1719672
C0008679,AFFECTS,C3806166
C0275518,COEXISTS_WITH,C0008679
C3806166,PROCESS_OF,C0206194
C4061114,PROCESS_OF,C0206194
C1719672,PROCESS_OF,C0005680
C0003232,PREDISPOSES,C0004610
C1299597,ADMINISTERED_TO,C0206194
C4505099,PREVENTS,C3714514
C0032535,TREATS,C0030705
C0008370,COEXISTS_WITH,C1096272
C0079189,CAUSES,C3830376
C0022346,PROCESS_OF,C0030705
C2938913,PROCESS_OF,C0030705
C0439775,USES,C0002594
C0232741,PROCESS_OF,C0030705
C0750430,NEG_DIAGNOSES,C0028778
C0750430,NEG_DIAGNOSES,C1265765
C0005558,DIAGNOSES,C0008370
C0005558,DIAGNOSES,C0497156
C0005558,DIAGNOSES,C3830376
C0015259,PREDISPOSES,C0036690
C0027051,PROCESS_OF,C0206194
C0036690,COEXISTS_WITH,C0241863
C0015259,TREATS,C0241863
C0035648,PROCESS_OF,C0001675
C0014344,CAUSES,C3714514
C0004610,COEXISTS_WITH,C0178874
C1136254,INHIBITS,C0205160
C1136254,TREATS,C3714514
C0039485,LOCATION_OF,C0040395
C0225706,LOCATION_OF,C0748164
C0039485,LOCATION_OF,C0027651
C0006105,PROCESS_OF,C0030705
C0349707,TREATS,C0006105
C0543467,PRECEDES,C0559680
C0018670,LOCATION_OF,C0024485
C0009324,PROCESS_OF,C0030705
C0036690,PROCESS_OF,C0317531
C1331543,COEXISTS_WITH,C0150312
C0232970,PROCESS_OF,C0043210
C0015967,ISA,C0012634
C0317531,CAUSES,C0269936
C0455142,TREATS,C0012634
C0455142,USES,C0003232
C0004610,COEXISTS_WITH,C0023449
C0085491,CAUSES,C0004610
C0029235,ASSOCIATED_WITH,C0023890
C0085491,ASSOCIATED_WITH(SPEC),C0023890
C0085491,ISA,C0029235
C0277786,PROCESS_OF,C0030705
C1261322,USES,C0005834
C0008809,TREATS,C0277797
C0001699,CAUSES,C0205721
C0002556,PREDISPOSES,C3714514
C0250480,compared_with,C0041044
C0003232,PREVENTS,C3714514
C1444098,CAUSES,C3714514
C0014836,PRODUCES,C0486433
C0282638,TREATS(INFER),C0085669
C0683521,PROCESS_OF,C0030705
C1718195,LOCATION_OF,C0033522
C3842674,PROCESS_OF,C0008059
C0349639,ISA,C0376545
C0349639,PROCESS_OF(SPEC),C0008059
C0040034,ISA,C0002871
C0014121,PRECEDES,C0000833
C0014121,CAUSES,C0000833
C0014118,COEXISTS_WITH,C0042798
C0015392,LOCATION_OF,C0042798
C0023418,COEXISTS_WITH,C0042798
C0229089,LOCATION_OF,C1704743
C1704743,PART_OF,C0015392
C0000833,COEXISTS_WITH,C0014121
C0027051,ISA,C0039978
C0150312,COEXISTS_WITH,C0012739
C0221282,PART_OF,C0030705
C0022885,DIAGNOSES,C0012739
C1868801,TREATS,C4318618
C3850079,TREATS,C4318618
C0184661,TREATS,C4318618
C0184661,TREATS(INFER),C2826244
C1868801,ISA,C0184661
C1868801,TREATS(SPEC),C0030705
C1868801,TREATS(SPEC),C4318618
C2609147,TREATS,C0030705
C2609147,TREATS,C4318618
C2609147,TREATS(INFER),C2826244
C4318618,PROCESS_OF,C0030705
C0006826,COEXISTS_WITH,C0009450
C0004610,PROCESS_OF,C1188215
C0031157,PROCESS_OF,C0043210
C1188215,ISA,C0314752
C0004610,AFFECTS,C0085393
C0319873,CAUSES,C0085082
C0243026,PROCESS_OF,C0027361
C0079731,PROCESS_OF,C0043210
C1299597,USES,C0537894
C0010572,AFFECTS,C0020291
C0010572,NEG_AFFECTS,C1160589
C0553576,COEXISTS_WITH,C0085393
C0004613,ISA,C0004611
C1136254,NEG_TREATS,C0004611
C1136254,NEG_TREATS(SPEC),C0004613
C0006968,ISA,C1136254
C0441669,METHOD_OF,C0497093
C0162326,PART_OF,C0079160
C0004610,PROCESS_OF,C0004661
C0003232,TREATS(INFER),C1719672
C0003232,TREATS,C1719672
C0009429,USES,C0026458
C0184661,TREATS,C0496675
C1512721,ISA,C0184661
C0010674,ISA,C0012634
C0948089,ISA,C0012634
C2744535,PREDISPOSES,C0004610
C0005684,COEXISTS_WITH,C3495919
C0030788,TREATS,C0877373
C0030797,LOCATION_OF,C0877373
C0030788,TREATS,C0030705
C0013404,PROCESS_OF,C0030705
C0030788,TREATS,C1517940
C0005684,PROCESS_OF,C0030705
C0553580,PROCESS_OF,C0021289
C0027651,PROCESS_OF,C0027361
C0553580,AFFECTS,C0041600
C0553580,PROCESS_OF,C0021270
C0003261,PROCESS_OF,C0030705
C0002085,PART_OF,C0017473
C0010825,PROCESS_OF,C0037179
C1335676,PART_OF,C0023434
C0042749,PROCESS_OF,C0599755
C0369082,INTERACTS_WITH,C1415715
C0009429,TREATS,C0012634
C1709157,NEG_PROCESS_OF,C0683971
C1709157,NEG_PROCESS_OF,C0871685
C0036983,PRECEDES,C0393626
C0086818,COMPLICATES,C0036983
C0701159,PROCESS_OF,C0001675
C1299622,TREATS(INFER),C0004610
C1563721,COEXISTS_WITH,C0012634
C1563721,COEXISTS_WITH,C0024117
C0012634,COEXISTS_WITH,C0242606
C0162772,AFFECTS,C0031843
C0162772,AUGMENTS,C0597304
C0026845,LOCATION_OF,C0175168
C0597304,PROCESS_OF,C0242692
C0026845,LOCATION_OF,C0162772
C0162772,INTERACTS_WITH,C0815043
C0851881,PROCESS_OF,C0030705
C0012634,PREDISPOSES,C3806166
C0072027,PREDISPOSES,C0004623
C0317789,CAUSES,C2886794
C0392618,OCCURS_IN,C0030705
C2744535,ASSOCIATED_WITH,C0392618
C0024109,LOCATION_OF,C0006826
C1504389,TREATS,C0023449
C0040808,USES,C0393080
C0393080,TREATS,C3714514
C0001486,PROCESS_OF,C1516213
C0521530,PROCESS_OF,C1516213
C1510438,MEASURES,C0042749
C0001483,CAUSES,C0032285
C0032285,COEXISTS_WITH,C0085393
C0700276,PART_OF,C0030297
C0700276,PART_OF,C0030705
C0035648,PROCESS_OF,C0599755
C0036690,PREDISPOSES,C0032787
C0006560,ASSOCIATED_WITH,C0036690
C0021083,USES,C1289970
C0001562,ISA,C0184661
C0001562,TREATS(SPEC),C0007138
C0005682,LOCATION_OF,C0007138
C0184661,TREATS,C0007138
C0009566,OCCURS_IN,C0080103
C1444097,CAUSES,C0036983
C0241889,PROCESS_OF,C0025266
C0007556,ISA,C0003232
C0013030,TREATS,C0030705
C0066005,TREATS,C0030705
C0600327,PROCESS_OF,C0038411
C0018553,PROCESS_OF,C0030705
C0040145,TREATS,C0342208
C0342208,PROCESS_OF,C0030705
C0005767,LOCATION_OF,C2744535
C0012854,PART_OF,C0038174
C0178913,LOCATION_OF,C0012854
C0038174,LOCATION_OF,C0012854
C0013227,TREATS(INFER),C0036983
C0013227,TREATS(INFER),C1719672
C0021708,LOCATION_OF,C2985505
C0013227,TREATS,C0599755
C0013227,TREATS,C0030705
C0020217,PRECEDES,C0036690
C0010468,TREATS,C0020217
C0012359,PRECEDES,C0036690
C0036690,PROCESS_OF,C0009054
C0036690,PROCESS_OF,C0043210
C2717900,COEXISTS_WITH,C0220615
C0185115,PRECEDES,C0021107
NA,ASSOCIATED_WITH,C3714514
NA,ASSOCIATED_WITH,C0023467
C0002992,PROCESS_OF,C0012984
C0684256,CAUSES,C0442893
C0324431,ISA,C0012984
C0009566,PROCESS_OF,C0012984
C0343401,CAUSES,C0004610
C0038172,LOCATION_OF,C0025643
C0600561,DIAGNOSES,C0343401
C0032520,METHOD_OF,C1511790
C0040943,CAUSES,C0029118
C0343941,OCCURS_IN,C0027361
C0004610,PROCESS_OF,C0870602
C0006826,PROCESS_OF,C0870602
C0746883,PROCESS_OF,C0870602
C0014834,PRODUCES,C0486433
C0006826,AFFECTS,C1444097
C0012634,COEXISTS_WITH,C0036983
C0032285,COEXISTS_WITH,C0036983
C1444096,LOCATION_OF,C1764827
C0014834,PRODUCES,C0168944
C0014834,PRODUCES,C0010377
C0035648,PROCESS_OF,C0870668
C0002680,NEG_AFFECTS,C0017953
C0008809,NEG_AFFECTS,C0017953
C0023216,LOCATION_OF,C1719930
C1719930,PROCESS_OF,C0027567
C1719930,PROCESS_OF,C0043210
C3714514,PROCESS_OF,C0238884
C0036974,PROCESS_OF,C1257890
C1825598,PREDISPOSES,C0036974
C1825598,PREDISPOSES,C3714514
C3714514,AFFECTS,C0023467
C0079189,ASSOCIATED_WITH,C0012634
C0004610,PROCESS_OF,C1005839
C0436307,TREATS,C0012739
C0740457,PROCESS_OF,C0043210
C0877373,PROCESS_OF,C0043210
C0032285,CAUSES,C0036983
C0036690,PROCESS_OF,C1188215
C0340515,COEXISTS_WITH,C0036983
C3277906,PROCESS_OF,C1516213
C0013516,ADMINISTERED_TO,C1516213
C0087111,TREATS,C1516213
C0087111,TREATS(INFER),C0036983
C0085496,CAUSES,C0014118
C1047372,ISA,C0445623
C0005400,LOCATION_OF,C1261287
C0005558,DIAGNOSES,C0007097
C0033572,LOCATION_OF,C0007097
C0392920,TREATS,C1516213
C0392920,TREATS(INFER),C1262313
C1262313,PROCESS_OF,C1516213
C0040732,NEG_TREATS,C0030705
C0042212,ADMINISTERED_TO,C3687489
C0042212,CAUSES,C0239984
C0042212,PART_OF,C0004422
C0004610,PROCESS_OF,C0017098
C0009566,COEXISTS_WITH,C0023530
C3843645,PREDISPOSES,C0004610
C0949665,PREDISPOSES,C0744471
C0023530,PREDISPOSES,C0004610
C0009653,PREVENTS,C0004610
C2937289,PREVENTS,C0004610
C0005558,AFFECTS,C0009566
C0949665,PREVENTS,C0009566
C0373345,ADMINISTERED_TO,C0030705
C0028902,ADMINISTERED_TO,C0030705
C0028902,TREATS,C0030705
C0442759,PROCESS_OF,C0030705
C3854019,ADMINISTERED_TO,C0030705
C3854019,TREATS,C0030705
C0232805,PROCESS_OF,C0030705
C0679698,PREVENTS,C1096243
C3658308,TREATS,C0021562
C3658308,USES,C1145640
C0242794,LOCATION_OF,C0150095
C0152966,COEXISTS_WITH,C0085650
C0152966,PROCESS_OF,C0030705
C0012739,COEXISTS_WITH,C0040053
C0012739,COEXISTS_WITH,C0333508
C0012739,COEXISTS_WITH(SPEC),C0085650
C0085650,ISA,C0040053
C0015385,LOCATION_OF,C0085650
C0152966,PROCESS_OF,C0870221
C0817096,LOCATION_OF,C0085650
C0018150,CAUSES,C0085650
C0057144,TREATS,C3714514
C0877248,OCCURS_IN,C0030705
C3509523,TREATS,C0030705
C3509523,TREATS(INFER),C0004610
C0026764,ISA,C0012634
C0017563,PROCESS_OF,C0030705
C0017574,PROCESS_OF,C0030705
C0442804,PROCESS_OF,C1257890
C0333355,COEXISTS_WITH,C0023530
C0272405,COEXISTS_WITH,C0332149
C0948501,DIAGNOSES,C0010709
C0229671,LOCATION_OF,C0040160
C0010709,COEXISTS_WITH,C0004610
C0459914,USES,C2744535
C0036690,PROCESS_OF,C0011420
C0013216,METHOD_OF,C0392920
C0376450,METHOD_OF,C0040732
C0040034,NEG_CAUSES,C0031099
C0205054,LOCATION_OF,C1517029
C0936148,TREATS,C0030705
C0554628,CAUSES,C0343532
C1273551,TREATS,C0007847
C0038411,CAUSES,C0009450
C0038411,CAUSES(SPEC),C0343532
C0343532,ISA,C0009450
C0012634,AFFECTS,C0036983
C0036983,ISA,C0012634
C0008838,TREATS,C1449646
C0144576,TREATS,C1449646
C0009404,NEG_AFFECTS,C0009253
C0009404,OCCURS_IN,C0030705
C0009404,OCCURS_IN,C0683971
C0221406,PROCESS_OF,C0021270
C0021270,ISA,C0008059
C0221406,PROCESS_OF,C0008059
C0221406,PROCESS_OF(SPEC),C0021270
C0010276,CAUSES,C0221406
C0221406,ISA,C0012634
C0010276,AFFECTS,C0008059
C0010276,COEXISTS_WITH,C0028754
C0010276,COEXISTS_WITH,C0221406
C0028754,PROCESS_OF,C0021270
C0004590,ISA,C0004611
C0006413,PROCESS_OF,C0043210
C0015252,TREATS,C0007102
C0009274,TREATS,C0007102
C0282583,AFFECTS,C0030705
C0021359,ISA,C0012634
C0033684,PREDISPOSES,C0036983
C2744535,AFFECTS,C0162336
C2744535,PREDISPOSES,C0036983
