cui_1,relship,cui_2
C0742006,PROCESS_OF,C1516213
C1261322,PREVENTS,C0742006
C1261322,TREATS,C1516213
C1096243,PROCESS_OF,C1516213
C1145640,TREATS,C0030705
C1145640,TREATS(INFER),C0006826
C0018155,CAUSES,C3714514
C1273869,PREVENTS,C1096243
C0337954,LOCATION_OF,C0681873
C0744471,PROCESS_OF,C0030705
C0006826,AFFECTS,C0860239
C0151636,PROCESS_OF,C0030705
C1527386,ADMINISTERED_TO,C0030705
C1527386,AFFECTS,C0151636
C0151636,PROCESS_OF,C0599755
C0151636,PROCESS_OF,C1516213
C0006826,COEXISTS_WITH,C0036690
C0036690,PROCESS_OF,C0026809
C1332823,INHIBITS,C4048280
C0036690,COMPLICATES,C0006826
C1844666,COEXISTS_WITH,C0036690
C0037993,LOCATION_OF,C0024312
NA,INHIBITS,C1332823
C0005953,LOCATION_OF,NA
C0005953,PART_OF,C0003062
C3641721,LOCATION_OF,NA
C1825598,INHIBITS,C1332823
C0280100,PROCESS_OF,C0870668
C0376545,PROCESS_OF,C0870668
C0441134,TREATS,C0870668
C0441134,TREATS(INFER),C0280100
C0441134,TREATS(INFER),C0376545
C0006968,TREATS,C0023530
C0021933,COEXISTS_WITH,C0085393
C0021933,PROCESS_OF,C0001675
C0022671,ADMINISTERED_TO,C0043210
C0022671,TREATS,C0011854
C0026766,CAUSES,C0011065
C0037925,LOCATION_OF,C0221198
C0037925,LOCATION_OF,C1832073
C0524850,TREATS,C0221198
C0011649,ISA,C0027651
C1457868,PROCESS_OF,C0030705
C0009566,COEXISTS_WITH,C0521654
C0011649,PROCESS_OF,C0008059
C4330937,CAUSES,C0009566
C1273869,TREATS,C0030705
C0006560,INTERACTS_WITH,C0597357
C0072027,ASSOCIATED_WITH,C3714514
C0597357,INTERACTS_WITH,C0596993
C0746883,PROCESS_OF,C0030705
C0072027,INTERACTS_WITH,C0887899
C0006826,PROCESS_OF,C0008059
C0746883,PROCESS_OF,C0008059
C0009932,LOCATION_OF,C0006560
C3714514,COEXISTS_WITH,C0006826
C0871754,PROCESS_OF,C0030705
C0699889,PROCESS_OF,C0030705
C0029925,PROCESS_OF,C0030705
C0013216,TREATS,C0030705
C0749769,PROCESS_OF,C0030705
C0025289,PROCESS_OF,C0004590
C0746883,PRECEDES,C1096197
C0004590,CAUSES,C0007684
C0006105,COEXISTS_WITH,C0023530
C1096197,MANIFESTATION_OF,C0023530
C0004610,PROCESS_OF,C0043210
C0023467,PROCESS_OF,C0043210
C0025289,PROCESS_OF,C0043210
C0013216,TREATS,C0009566
C0013216,USES,C0003232
C0003232,TREATS,C0543419
C0225808,LOCATION_OF,C0003842
C0027051,PROCESS_OF,C0043210
C0025066,LOCATION_OF,C1881358
C0003842,LOCATION_OF,C1314650
C0013216,TREATS,C1960397
C0315222,CAUSES,C0004610
C2987417,TREATS,C1709527
C0055003,TREATS,C0012634
C0004610,PROCESS_OF,C0315222
C0006826,PROCESS_OF,C0682287
C0877373,PROCESS_OF,C0001792
C3272283,COEXISTS_WITH,C0024117
C3806166,PROCESS_OF,C1257890
C0744471,PROCESS_OF,C1516213
C0035648,PREDISPOSES,C0744471
C0004610,OCCURS_IN,C1516213
C0012634,PROCESS_OF,C0086418
C0282624,TREATS,C0007103
C0282624,TREATS,C0030705
C0036983,PROCESS_OF,C0030705
C1719672,PROCESS_OF,C0030705
C0001617,ADMINISTERED_TO,C0030705
C0013227,ADMINISTERED_TO,C0030705
C0035222,PROCESS_OF,C0030705
C0036974,PROCESS_OF,C0030705
C0311276,PROCESS_OF,C0030705
C0007621,PROCESS_OF,C0026809
C0021368,PROCESS_OF,C0026809
C0205082,PREDISPOSES,C0006826
C0205082,PREDISPOSES,C1290884
C0006826,PRODUCES,C1421416
C1421416,AFFECTS,C0004391
C0023810,CAUSES,C0004391
C0021853,LOCATION_OF,C0009319
C1293130,USES,C0105770
C0006826,PROCESS_OF,C0027361
C0182953,TREATS,C0006826
C0182953,TREATS,C1290884
C1290884,PROCESS_OF,C0027361
C0229671,LOCATION_OF,C0072027
C0015967,MANIFESTATION_OF,C3714514
C0018939,PROCESS_OF,C0030705
C0243026,PROCESS_OF,C0030705
C0009450,PROCESS_OF,C0314752
C0026946,CAUSES,C0015967
C0072027,ASSOCIATED_WITH,C0009450
scale,NA,NA
C0072027,compared_with,C0006560
C0072027,higher_than,C0006560
C0005558,DIAGNOSES,C1457887
C0025677,TREATS,C0036202
C0032952,TREATS,C0036202
C0036202,PROCESS_OF,C0025266
C0588055,LOCATION_OF,C0005558
C0005954,DIAGNOSES,C0150312
C0015376,PROCESS_OF,C0030705
C0009402,PROCESS_OF,C0030705
C1562590,PREDISPOSES,C3698200
C3698200,PROCESS_OF,C0030705
C0036690,NEG_PROCESS_OF,C0030705
C1562590,PROCESS_OF,C0030705
C0587437,LOCATION_OF,C2603343
C0009450,PROCESS_OF,C0004611
C0009450,PROCESS_OF(SPEC),C0018154
C0018154,ISA,C0004611
C0184661,NEG_COEXISTS_WITH,C0033137
C2744535,AUGMENTS,C0004448
C0278701,COEXISTS_WITH,C0014118
C0278701,COEXISTS_WITH,C0023885
C0319888,CAUSES,C0860239
C0860239,PROCESS_OF,C0030705
C0319888,ISA,C0010415
C2886794,PROCESS_OF,C0086418
C0002679,ISA,C0450442
C0024485,DIAGNOSES,C0566602
C2748260,DIAGNOSES,C0566602
C4034374,COEXISTS_WITH,C0566602
C0566602,PROCESS_OF,C0030705
C2748260,METHOD_OF,C0008307
C4522043,METHOD_OF,C2748260
C0005401,LOCATION_OF,C0002940
C0566602,PREDISPOSES,C0332219
C0012644,COEXISTS_WITH,C0242648
C0680063,LOCATION_OF,C0032105
C1571705,LOCATION_OF,C1334043
C0003062,LOCATION_OF,C1425360
C0003062,NEG_LOCATION_OF,C1418401
C0006826,PROCESS_OF,C0003062
C4281805,COEXISTS_WITH,C1418401
C0034790,COEXISTS_WITH,C1425360
C0004610,PROCESS_OF,C0348061
C0010692,PROCESS_OF,C0030705
C0010692,PROCESS_OF,C0085957
C0009566,COEXISTS_WITH,C0085393
C0920687,TREATS,C0030705
C0333355,PROCESS_OF,C0030705
C0700221,TREATS,C0008059
C0700221,TREATS(INFER),C0280100
C0700221,USES,C0021102
C0280100,PROCESS_OF,C0030705
C0878969,TREATS,C0008059
C0878969,TREATS(INFER),C0376545
