pmid,cui
31640283,C2239176
31640283,C0019169
31640283,C0042776
31640283,C0019132
31640283,C1519524
31640283,C1825598
31609774,C0028351
31609774,C0036983
31609774,C0042413
31609774,C0036974
31609774,scale
31609774,C1708063
31603902,C0031831
31603902,C0086530
31601774,C0019993
31601774,C3897254
31601774,C0005558
31601774,C0033572
31601774,C0019994
31601774,C0004659
31601774,C3714514
31601195,C0036690
31601195,C0278704
31601195,C0314756
31601195,C0027819
31601195,C2825926
31601195,C0015967
31601195,C1550225
31601195,C0317740
31597884,C0004610
31597884,C0750952
31597884,C0579220
31597884,C3714514
31597884,C0518609
31590654,C0279068
31590654,C0036690
31590654,C0071216
31586572,C0376545
31586572,C3714514
31586572,C3272283
31586572,C0677881
31586572,C0023530
31586572,C0700287
31577747,C0275524
31577747,C0023885
31577747,C0238748
31577747,C0015967
31577747,C0234233
31574202,C0376545
31574202,C0009566
31574202,C0023530
31574202,C1328050
31574202,C0074992
31574202,C0445625
31574202,C0038402
31574202,C0014344
31574202,C0022727
31574202,C0036765
31574202,C0278252
31570949,C0040395
31567923,C0282624
31567923,C3814448
31567923,C2744535
31567923,C0587437
31567923,C0193072
31537095,NA
31537095,C0023434
31537095,C0035139
31537095,C3714514
31537095,C0020964
31537095,C0021051
31537095,C0199176
31535416,C0036690
31535416,C0376545
31535416,C0005953
31535416,C1504389
31535416,C0006826
31526283,C0004610
31526283,C0006560
31526283,C0013216
31526283,C0072027
31526283,C0746883
31526283,C2826293
31526283,C0030705
31526283,C1257890
31526283,C0085669
31526283,scale
31526283,C0005516
31522700,C0024312
31522700,C0026764
31522700,C3714514
31522700,C0013216
31522700,C0035648
31522700,C0442751
31522700,C0677881
31522700,C0008976
31522700,C0854467
31522676,C2239176
31522676,C0072470
31522676,C0080222
31522676,C0334227
31522676,C0026882
31522676,C0524910
31522676,C3266990
31513845,C0004610
31513845,C0085479
31513845,C0003232
31513845,C1541483
31496616,C0003461
31496616,C1142182
31496616,C4505465
31486593,C3714514
31486593,C0018939
31484888,C0023473
31484888,C0343532
31484888,C0579233
31484888,C1623038
31484888,C4048756
31484888,C0023418
31484888,C0272183
31484888,C1268567
31484735,C0006826
31484735,C0010340
31484735,C0036690
31484735,C0678209
31484735,C1515879
31484735,C4048280
31484735,C2744535
31484735,C0007584
31484735,C0012634
31484735,C0278484
31484735,C0013081
31484735,C0020969
31484735,C0039215
31484735,C0242629
31484735,C1426208
31484735,C1426212
31484735,C0111208
31484735,C1418401
31484735,C1823649
31484735,C3539652
31484735,C0150312
31484735,C0677850
31481452,C0037995
31481452,C0205065
31481452,C0877373
31481452,C0043251
31481452,C0029925
31481452,C3698200
31481452,C3842674
31481452,C3850079
31474977,C0019682
31474977,C0042749
31474977,C0019693
31474977,C1825598
31462215,C0035648
31462215,C2930845
31462215,C3714514
31462215,C0004610
31462215,C0080194
31452400,C0011065
31452400,C0024109
31452400,C0877373
31452400,C3714514
31452400,C0036690
31449062,C0017181
31449062,C0036690
31449062,C3887460
31449062,C0010340
31446489,C0072027
31446489,C0877248
31446489,C0229671
31446489,C0472699
31446489,C1705576
31446489,C0006560
31446489,C0021853
31446489,C0205054
31442841,C0040739
31442841,C0024302
31442841,C0000846
31435775,C0042149
31435775,C0206653
31435775,C0278584
31435775,C0020699
31434669,C0014742
31434669,C0004651
31434669,C0015230
31434669,C0577725
31434669,C0005558
31434669,C0004610
31421908,C0004610
31421908,C0282386
31421908,C0006826
31421908,C0010340
31421908,C0455142
31421114,C0010340
31421114,C0019682
31421114,C0439663
